"date","opponent","game_id"
"11/10/17","Oklahoma State","400986952"
"11/14/17","Cal Lutheran","400986953"
"11/17/17","Northern Colorado","400986954"
"11/20/17","UC Santa Barbara","400986955"
"11/21/17","Oral Roberts","400999771"
"11/24/17","Texas A&M","400986956"
"11/29/17","Southern Utah","400986957"
"12/2/17","Cal Poly","400986958"
"12/5/17","UC Riverside","400986959"
"12/9/17","Long Beach State","400986960"
"12/16/17","Belmont","400986961"
"12/19/17","Weber State","400986962"
"12/28/17","Santa Clara","400986963"
"12/30/17","San Diego","400986964"
"1/4/18","Gonzaga","400986889"
"1/6/18","San Francisco","400986965"
"1/11/18","BYU","400986863"
"1/13/18","Saint Mary's","400986966"
"1/18/18","Pacific","400986943"
"1/20/18","San Francisco","400986967"
"1/25/18","Loyola Marymount","400986919"
"1/27/18","Santa Clara","400986968"
"2/1/18","Portland","400986969"
"2/3/18","Pacific","400986947"
"2/8/18","San Diego","400986970"
"2/10/18","Loyola Marymount","400986923"
"2/15/18","BYU","400986873"
"2/17/18","Gonzaga","400986901"
"2/22/18","Saint Mary's","400986971"
"2/24/18","Portland","400986972"
"3/2/18","Santa Clara","401020609"
"3/3/18","Saint Mary's","401020611"
