"date","opponent","game_id"
"11/11/17","Saint Peter's","400990068"
"11/13/17","Pennsylvania","400990069"
"11/16/17","South Alabama","400990070"
"11/18/17","Northwestern","400986363"
"11/19/17","Boston College","401000131"
"11/22/17","Miami","400986085"
"11/26/17","Temple","400987971"
"12/1/17","Towson","400990071"
"12/2/17","Holy Cross","401002871"
"12/7/17","Drexel","400990072"
"12/10/17","Villanova","400988524"
"12/17/17","Mercer","400988722"
"12/22/17","Bucknell","400990073"
"12/30/17","Saint Louis","400989956"
"1/3/18","Rhode Island","400990074"
"1/6/18","VCU","400989924"
"1/10/18","Massachusetts","400990075"
"1/13/18","Duquesne","400989846"
"1/17/18","Fordham","400989868"
"1/20/18","Richmond","400989982"
"1/24/18","Massachusetts","400990076"
"1/31/18","Davidson","400989790"
"2/3/18","Saint Joseph's","400989970"
"2/7/18","George Washington","400989912"
"2/10/18","Saint Louis","400989961"
"2/13/18","St. Bonaventure","400989946"
"2/17/18","George Mason","400989895"
"2/20/18","Rhode Island","400990077"
"2/24/18","Fordham","400989875"
"2/28/18","Dayton","400989834"
"3/3/18","Saint Joseph's","400989974"
"3/7/18","Massachusetts","401020072"
