"date","opponent","game_id"
"11/10/17","Oregon","400988196"
"11/12/17","East Carolina","400987935"
"11/16/17","Cincinnati","400987948"
"11/17/17","Cleveland State","400992083"
"11/19/17","Rutgers","400986370"
"11/21/17","Central Connecticut","400990722"
"12/1/17","Ohio","400990143"
"12/3/17","Georgetown","400988511"
"12/6/17","Navy","400992060"
"12/9/17","UConn","400988003"
"12/12/17","UMBC","400991584"
"12/20/17","West Virginia","400989280"
"12/22/17","Mt. St. Mary's","400990776"
"12/27/17","Georgia Tech","400986168"
"12/30/17","Penn State","400986477"
"1/3/18","Norfolk State","400992721"
"1/6/18","Savannah State","400992722"
"1/8/18","Florida A&M","400992723"
"1/13/18","North Carolina Central","400992724"
"1/15/18","North Carolina A&T","400992725"
"1/20/18","Morgan State","400992726"
"1/27/18","South Carolina State","400992727"
"1/29/18","Maryland-Eastern Shore","400992728"
"1/31/18","Hampton","400992729"
"2/3/18","Bethune-Cookman","400992711"
"2/5/18","South Carolina State","400992730"
"2/12/18","Hampton","400992731"
"2/17/18","Bethune-Cookman","400992715"
"2/19/18","Delaware State","400992732"
"2/26/18","Morgan State","400992733"
"3/1/18","Howard","400992734"
"3/6/18","North Carolina Central","401020549"
