"date","opponent","game_id"
"11/11/17","Pennsylvania","400991056"
"11/14/17","Loyola MD","400991062"
"11/18/17","Purdue","400986364"
"11/24/17","Jacksonville","400991075"
"11/25/17","Gardner-Webb","400991076"
"11/26/17","Wright State","400991081"
"12/1/17","Wagner","400990746"
"12/6/17","Houston","400987997"
"12/10/17","LIU Brooklyn","400990759"
"12/17/17","Old Dominion","400991103"
"12/22/17","New Hampshire","400991110"
"12/28/17","Saint Peter's","400991114"
"12/30/17","Manhattan","400991119"
"1/5/18","Rider","400991125"
"1/7/18","Iona","400991130"
"1/11/18","Manhattan","400991136"
"1/13/18","Marist","400991141"
"1/20/18","Niagara","400991151"
"1/23/18","Rider","400991156"
"1/27/18","Quinnipiac","400991161"
"1/29/18","Iona","400991165"
"2/2/18","Monmouth","400991169"
"2/5/18","Siena","400991178"
"2/10/18","Niagara","400991184"
"2/12/18","Canisius","400991189"
"2/15/18","Marist","400991192"
"2/17/18","Quinnipiac","400991197"
"2/21/18","Siena","400991202"
"2/24/18","Monmouth","400991208"
"3/1/18","Marist","401020177"
"3/3/18","Niagara","401020180"
"3/4/18","Quinnipiac","401020183"
"3/5/18","Iona","401020184"
