"date","opponent","game_id"
"11/10/17","St. John's","400988410"
"11/13/17","Oakland","400988889"
"11/21/17","Memphis","400987960"
"11/24/17","Spring Hill","400988923"
"11/26/17","South Alabama","400988932"
"11/29/17","Houston","400987978"
"12/2/17","Williams Baptist","400988947"
"12/13/17","SMU","400988009"
"12/16/17","Louisiana","400988976"
"12/18/17","Panhandle State","400988981"
"12/20/17","UAB","400988988"
"12/28/17","Abilene Christian","400988995"
"12/30/17","Houston Baptist","400989002"
"1/3/18","Lamar","400989011"
"1/6/18","McNeese","400989014"
"1/10/18","Stephen F. Austin","400989020"
"1/13/18","Texas A&M-CC","400989025"
"1/17/18","Central Arkansas","400989033"
"1/20/18","Incarnate Word","400989037"
"1/24/18","Northwestern State","400989041"
"1/27/18","Incarnate Word","400989048"
"1/31/18","Northwestern State","400989054"
"2/3/18","Nicholls","400989060"
"2/10/18","Texas A&M-CC","400989074"
"2/14/18","SE Louisiana","400989077"
"2/17/18","McNeese","400989084"
"2/21/18","Sam Houston State","400989088"
"2/24/18","Nicholls","400989099"
"2/28/18","SE Louisiana","400989104"
"3/7/18","Texas A&M-CC","401020159"
"3/8/18","Sam Houston State","401020161"
"3/14/18","UT Rio Grande Valley","401025903"
"3/19/18","Campbell","401026551"
