"date","opponent","game_id"
"11/10/17","Sacramento State","400991725"
"11/14/17","Winthrop","400991726"
"11/17/17","Tulane","400987950"
"11/19/17","Florida State","400986072"
"11/22/17","New Mexico State","400990601"
"11/24/17","Northwestern State","400988924"
"11/28/17","Missouri State","400989627"
"12/2/17","Colorado","400988239"
"12/5/17","Arkansas","400987224"
"12/8/17","Oregon","400988255"
"12/17/17","Texas State","400990409"
"12/19/17","Arkansas-Fort Smith","400991727"
"12/23/17","Long Beach State","400991728"
"12/27/17","Boise State","400991709"
"12/30/17","San Jose State","400991729"
"1/2/18","San Diego State","400991730"
"1/6/18","Fresno State","400991731"
"1/10/18","Utah State","400991732"
"1/13/18","Wyoming","400991733"
"1/17/18","Air Force","400991693"
"1/20/18","UNLV","400991734"
"1/24/18","San Diego State","400991735"
"1/27/18","New Mexico","400991736"
"1/31/18","Wyoming","400991737"
"2/3/18","Nevada","400991738"
"2/6/18","Air Force","400991698"
"2/10/18","San Jose State","400991739"
"2/17/18","Fresno State","400991740"
"2/21/18","Boise State","400991722"
"2/25/18","Nevada","400991741"
"2/28/18","New Mexico","400991742"
"3/7/18","Utah State","401020569"
