"date","opponent","game_id"
"11/11/17","St. Francis BKN","400989836"
"11/14/17","VMI","400988656"
"11/19/17","Robert Morris","400989837"
"11/27/17","Cornell","400989838"
"12/1/17","Pittsburgh","400986111"
"12/4/17","Maryland-Eastern Shore","400989839"
"12/6/17","Stetson","400989840"
"12/9/17","Delaware State","400992736"
"12/13/17","Mississippi Valley State","400989841"
"12/17/17","North Carolina A&T","400989842"
"12/19/17","Lamar","400988987"
"12/22/17","San Francisco","400987057"
"12/23/17","Southern Illinois","400989670"
"12/30/17","Dayton","400989819"
"1/3/18","George Washington","400989843"
"1/6/18","Fordham","400989844"
"1/9/18","VCU","400989845"
"1/13/18","La Salle","400989846"
"1/17/18","Saint Louis","400989847"
"1/20/18","George Mason","400989848"
"1/24/18","Richmond","400989849"
"1/27/18","Rhode Island","400989850"
"1/31/18","George Washington","400989851"
"2/3/18","St. Bonaventure","400989852"
"2/7/18","Dayton","400989828"
"2/10/18","Fordham","400989853"
"2/17/18","Saint Joseph's","400989854"
"2/21/18","St. Bonaventure","400989855"
"2/24/18","Davidson","400989797"
"2/28/18","Saint Louis","400989856"
"3/3/18","Massachusetts","400989857"
"3/8/18","Richmond","401020076"
