"date","opponent","game_id"
"11/11/17","Portland","400986973"
"11/14/17","Willamette","400991233"
"11/18/17","UC Riverside","400991237"
"11/20/17","Utah State","400991239"
"11/23/17","Duke","400986088"
"11/24/17","Butler","400999721"
"11/26/17","Stanford","401001000"
"12/2/17","Portland Bible","400991250"
"12/6/17","Loyola Marymount","400993187"
"12/9/17","Santa Clara","400987089"
"12/13/17","Oregon","400988265"
"12/16/17","Linfield College","400991259"
"12/21/17","California","400988285"
"12/30/17","Sacramento State","400991273"
"1/4/18","Eastern Washington","400991279"
"1/6/18","Idaho","400991284"
"1/11/18","Montana State","400991288"
"1/13/18","Montana","400991297"
"1/18/18","Idaho State","400991300"
"1/20/18","Weber State","400991306"
"1/27/18","Sacramento State","400991317"
"2/1/18","Idaho","400991319"
"2/3/18","Eastern Washington","400991327"
"2/8/18","Montana","400991331"
"2/10/18","Montana State","400991339"
"2/15/18","Weber State","400991342"
"2/17/18","Idaho State","400991351"
"2/22/18","Southern Utah","400991355"
"2/24/18","Northern Arizona","400991360"
"3/1/18","Northern Colorado","400991367"
"3/3/18","North Dakota","400991372"
"3/6/18","Sacramento State","401020741"
"3/8/18","Eastern Washington","401020737"
"3/17/18","San Diego","401026554"
