"date","opponent","game_id"
"11/10/17","Marshall","400990876"
"11/12/17","Illinois","400986335"
"11/15/17","North Carolina Central","400990882"
"11/18/17","Akron","400990125"
"11/22/17","Southern","400990902"
"11/26/17","UMKC","400990606"
"11/29/17","LSU","400987206"
"12/2/17","Chattanooga","400988696"
"12/5/17","Arkansas State","400990392"
"12/10/17","Cincinnati Clermont","400990925"
"12/16/17","Mississippi State","400987246"
"12/20/17","Blue Mountain College","400990938"
"12/22/17","Arkansas-Pine Bluff","400990941"
"12/28/17","Tennessee State","400990945"
"12/30/17","Belmont","400990953"
"1/4/18","Austin Peay","400990956"
"1/6/18","Murray State","400990965"
"1/11/18","Eastern Kentucky","400990972"
"1/13/18","Morehead State","400990977"
"1/18/18","Eastern Illinois","400990983"
"1/20/18","SIU-Edwardsville","400990990"
"1/25/18","Jacksonville State","400990995"
"1/27/18","Tennessee Tech","400991003"
"2/1/18","Austin Peay","400991007"
"2/3/18","Murray State","400991015"
"2/8/18","Eastern Kentucky","400991019"
"2/10/18","Southeast Missouri State","400991027"
"2/15/18","SIU-Edwardsville","400991032"
"2/17/18","Eastern Illinois","400991036"
"2/22/18","Morehead State","400991045"
"2/24/18","Southeast Missouri State","400991046"
