"date","opponent","game_id"
"11/10/17","Iowa State","400987149"
"11/13/17","Wagner","400987162"
"11/16/17","Utah","400987171"
"11/20/17","Emporia State","400987186"
"11/23/17","Long Beach State","400987193"
"11/24/17","St. John's","400999686"
"11/26/17","West Virginia","400999692"
"11/30/17","UCF","400987211"
"12/5/17","Miami OH","400987222"
"12/9/17","Green Bay","400987233"
"12/16/17","North Florida","400987245"
"12/19/17","Stephen F. Austin","400987254"
"12/23/17","Illinois","400986463"
"1/3/18","South Carolina","400987289"
"1/6/18","Florida","400987292"
"1/10/18","Georgia","400987303"
"1/13/18","Arkansas","400987307"
"1/17/18","Tennessee","400987317"
"1/20/18","Texas A&M","400987321"
"1/24/18","Auburn","400987333"
"1/27/18","Mississippi State","400987337"
"1/31/18","Alabama","400987352"
"2/3/18","Kentucky","400987354"
"2/6/18","Ole Miss","400987362"
"2/10/18","Mississippi State","400987369"
"2/13/18","Texas A&M","400987375"
"2/17/18","LSU","400987382"
"2/20/18","Ole Miss","400987389"
"2/24/18","Kentucky","400987397"
"2/27/18","Vanderbilt","400987405"
"3/3/18","Arkansas","400987412"
"3/8/18","Georgia","401020003"
"3/16/18","Florida State","401025837"
