"date","opponent","game_id"
"11/12/17","Kentucky","400987159"
"11/17/17","Bradley","400991052"
"11/18/17","Coastal Carolina","401001057"
"11/19/17","Northern Kentucky","401001173"
"11/22/17","Maine-Fort Kent","400991589"
"11/25/17","Yale","400991590"
"11/29/17","Richmond","400989978"
"12/2/17","Bucknell","400991591"
"12/5/17","Marquette","400988512"
"12/9/17","Northeastern","400991493"
"12/11/17","Siena","400991099"
"12/16/17","St. Bonaventure","400989938"
"12/21/17","Quinnipiac","400991108"
"1/2/18","Harvard","400991592"
"1/4/18","UMass Lowell","400991576"
"1/6/18","UMBC","400991587"
"1/10/18","Dartmouth","400991593"
"1/13/18","Stony Brook","400991564"
"1/15/18","Maine","400991536"
"1/18/18","New Hampshire","400991553"
"1/21/18","Hartford","400991521"
"1/24/18","Albany","400990005"
"1/31/18","Binghamton","400990032"
"2/3/18","UMBC","400991588"
"2/8/18","Albany","400990008"
"2/11/18","UMass Lowell","400991578"
"2/15/18","New Hampshire","400991556"
"2/18/18","Hartford","400991526"
"2/21/18","Binghamton","400990037"
"2/24/18","Stony Brook","400991569"
"2/27/18","Maine","400991543"
"3/3/18","Maine","401020720"
"3/6/18","Stony Brook","401020721"
"3/10/18","UMBC","401020723"
"3/13/18","Middle Tennessee","401022725"
