"date","opponent","game_id"
"11/10/17","Northwestern State","400988883"
"11/14/17","New Hampshire","400989256"
"11/18/17","Lipscomb","400989257"
"11/23/17","Butler","400988496"
"11/24/17","Duke","400999722"
"11/26/17","Gonzaga","401001002"
"11/29/17","Florida A&M","400989258"
"12/5/17","VCU","400989259"
"12/12/17","Michigan","400986430"
"12/16/17","Louisiana Tech","400989260"
"12/18/17","Tennessee State","400989261"
"12/22/17","Alabama","400987270"
"12/29/17","Kansas","400989180"
"1/1/18","Iowa State","400989159"
"1/6/18","Baylor","400989135"
"1/10/18","TCU","400989250"
"1/13/18","Oklahoma State","400989233"
"1/17/18","Texas Tech","400989262"
"1/20/18","West Virginia","400989263"
"1/22/18","Iowa State","400989164"
"1/27/18","Ole Miss","400987338"
"1/31/18","Texas Tech","400989264"
"2/3/18","Oklahoma","400989223"
"2/7/18","Kansas State","400989207"
"2/10/18","TCU","400989253"
"2/12/18","Baylor","400989145"
"2/17/18","Oklahoma","400989226"
"2/21/18","Kansas State","400989210"
"2/24/18","Oklahoma State","400989239"
"2/26/18","Kansas","400989192"
"3/3/18","West Virginia","400989265"
"3/7/18","Iowa State","401020055"
"3/8/18","Texas Tech","401020058"
"3/16/18","Nevada","401025817"
