"date","opponent","game_id"
"11/11/17","Akron","400990111"
"11/14/17","Rutgers","400986349"
"11/17/17","Coppin State","400992083"
"11/20/17","East Carolina","400987958"
"11/24/17","Central Connecticut","400990729"
"11/29/17","Arkansas State","400990385"
"12/2/17","Kent State","400990148"
"12/6/17","Western Michigan","400990156"
"12/10/17","Notre Dame College","400992084"
"12/19/17","Niagara","400991105"
"12/21/17","Cincinnati","400988030"
"12/23/17","Toledo","400990183"
"12/29/17","Michigan State","400986470"
"1/1/18","Youngstown State","400992085"
"1/4/18","Green Bay","400992086"
"1/6/18","Milwaukee","400992087"
"1/10/18","Detroit Mercy","400992088"
"1/12/18","Oakland","400992089"
"1/15/18","Northern Kentucky","400992090"
"1/18/18","IUPUI","400992091"
"1/20/18","UIC","400992092"
"1/25/18","Green Bay","400992093"
"1/27/18","Milwaukee","400992094"
"2/1/18","Wright State","400992095"
"2/3/18","Northern Kentucky","400992096"
"2/8/18","IUPUI","400992097"
"2/10/18","UIC","400992098"
"2/14/18","Detroit Mercy","400992099"
"2/16/18","Oakland","400992100"
"2/19/18","Wright State","400992101"
"2/24/18","Youngstown State","400992102"
"3/2/18","Youngstown State","401020086"
"3/3/18","Northern Kentucky","401020088"
"3/5/18","Oakland","401020091"
"3/6/18","Wright State","401020093"
