"date","opponent","game_id"
"11/10/17","Brescia","400990874"
"11/13/17","Middle Tennessee","400990879"
"11/18/17","Wright State","400990890"
"11/25/17","Southern Illinois","400989621"
"11/28/17","Harris Stowe","400990909"
"12/2/17","Florida A&M","400990917"
"12/9/17","Illinois State","400989645"
"12/12/17","Saint Louis","400989953"
"12/16/17","Marist","400990934"
"12/19/17","Auburn","400987258"
"12/22/17","Detroit Mercy","400990940"
"12/28/17","Eastern Illinois","400990946"
"12/30/17","SIU-Edwardsville","400990954"
"1/4/18","Southeast Missouri State","400990961"
"1/6/18","Tenn-Martin","400990965"
"1/11/18","Jacksonville State","400990971"
"1/13/18","Tennessee Tech","400990976"
"1/18/18","Belmont","400990982"
"1/20/18","Tennessee State","400990989"
"1/25/18","Morehead State","400990994"
"1/27/18","Eastern Kentucky","400991001"
"2/1/18","Southeast Missouri State","400991005"
"2/3/18","Tenn-Martin","400991015"
"2/8/18","Austin Peay","400991016"
"2/10/18","SIU-Edwardsville","400991026"
"2/15/18","Jacksonville State","400991031"
"2/17/18","Tennessee Tech","400991039"
"2/22/18","Eastern Illinois","400991042"
"2/24/18","Austin Peay","400991047"
"3/2/18","Jacksonville State","401020109"
"3/3/18","Belmont","401020111"
"3/16/18","West Virginia","401025821"
