"date","opponent","game_id"
"11/10/17","Prairie View A&M","400988194"
"11/13/17","Mississippi Valley State","400988202"
"11/16/17","Missouri","400987171"
"11/21/17","Ole Miss","400988223"
"11/23/17","UNLV","401001884"
"11/24/17","Eastern Washington","400988229"
"12/2/17","Hawai'i","400988241"
"12/5/17","Butler","400988247"
"12/9/17","Utah State","400988257"
"12/16/17","BYU","400986856"
"12/20/17","Northwestern State","400988280"
"12/29/17","Oregon","400988288"
"12/31/17","Oregon State","400988294"
"1/4/18","Arizona","400988299"
"1/7/18","Arizona State","400988306"
"1/11/18","UCLA","400988313"
"1/14/18","USC","400988319"
"1/18/18","Washington","400988324"
"1/21/18","Washington State","400988331"
"1/25/18","Arizona State","400988334"
"1/27/18","Arizona","400988336"
"2/2/18","Colorado","400988346"
"2/8/18","Stanford","400988353"
"2/10/18","California","400988359"
"2/15/18","Washington","400988364"
"2/17/18","Washington State","400988370"
"2/22/18","UCLA","400988377"
"2/24/18","USC","400988380"
"3/3/18","Colorado","400988394"
"3/8/18","Oregon","401020050"
"3/14/18","UC Davis","401022795"
"3/19/18","LSU","401022808"
"3/21/18","Saint Mary's","401022814"
"3/27/18","Western Kentucky","401022815"
"3/29/18","Penn State","401022817"
