"date","opponent","game_id"
"11/10/17","Wichita State","400987931"
"11/12/17","Haskell","400990586"
"11/14/17","Kansas State","400989195"
"11/16/17","Loyola Chi","400989606"
"11/20/17","Manhattan","400990595"
"11/21/17","Georgia Southern","401001786"
"11/22/17","Pennsylvania","401001954"
"11/26/17","Tenn-Martin","400990606"
"11/30/17","South Dakota","400989319"
"12/6/17","Southeast Missouri State","400990618"
"12/9/17","NC State","400986134"
"12/16/17","Incarnate Word","400988973"
"12/19/17","Central Michigan","400990175"
"12/22/17","South Dakota State","400989358"
"12/28/17","Avila","400990639"
"1/2/18","South Carolina Upstate","400990646"
"1/6/18","UT Rio Grande Valley","400990648"
"1/11/18","Utah Valley","400990652"
"1/13/18","Seattle","400990656"
"1/18/18","CSU Bakersfield","400990662"
"1/20/18","Grand Canyon","400990666"
"1/23/18","William Jewell","400990668"
"1/27/18","New Mexico State","400990671"
"2/1/18","Grand Canyon","400990676"
"2/3/18","CSU Bakersfield","400990680"
"2/8/18","Seattle","400990684"
"2/10/18","Utah Valley","400990688"
"2/15/18","Chicago State","400990690"
"2/22/18","UT Rio Grande Valley","400990696"
"2/24/18","New Mexico State","400990701"
"3/3/18","Chicago State","400990704"
"3/8/18","Grand Canyon","401020537"
