"date","opponent","game_id"
"11/11/17","Florida A&M","400991810"
"11/15/17","Prairie View A&M","400991811"
"11/17/17","Eastern Washington","400991236"
"11/20/17","Rice","400991812"
"11/23/17","Utah","401001884"
"11/25/17","Southern Utah","400991245"
"11/29/17","Northern Iowa","400989633"
"12/2/17","Arizona","400988242"
"12/5/17","Oral Roberts","400989328"
"12/9/17","Illinois","400986421"
"12/16/17","Pacific","400986938"
"12/20/17","Mississippi Valley State","400991813"
"12/22/17","Northern Colorado","400991265"
"12/30/17","Boise State","400991710"
"1/3/18","San Jose State","400991805"
"1/6/18","Utah State","400991814"
"1/10/18","Air Force","400991691"
"1/17/18","New Mexico","400991785"
"1/20/18","Colorado State","400991734"
"1/23/18","Fresno State","400991753"
"1/27/18","San Diego State","400991797"
"1/31/18","San Jose State","400991807"
"2/3/18","Boise State","400991718"
"2/7/18","Nevada","400991773"
"2/10/18","Wyoming","400991815"
"2/14/18","Air Force","400991700"
"2/17/18","San Diego State","400991799"
"2/21/18","Fresno State","400991759"
"2/25/18","New Mexico","400991791"
"2/28/18","Nevada","400991777"
"3/3/18","Utah State","400991816"
"3/7/18","Air Force","401020568"
"3/8/18","Nevada","401020571"
