"date","opponent","game_id"
"11/10/17","St. Bonaventure","400989931"
"11/15/17","Minnesota","400986351"
"11/19/17","Massachusetts","400990100"
"11/21/17","BYU","400986849"
"11/24/17","Alabama A&M","400991074"
"11/25/17","UT Arlington","401002381"
"11/27/17","Army","400991083"
"11/29/17","Buffalo","400990138"
"12/5/17","New Hampshire","400991091"
"12/10/17","St. Francis PA","400990761"
"12/16/17","Norfolk State","400991102"
"12/19/17","Cleveland State","400991105"
"12/23/17","Cornell","400991113"
"12/29/17","Iona","400991117"
"12/31/17","Rider","400991121"
"1/5/18","Siena","400991126"
"1/7/18","Marist","400991131"
"1/12/18","Monmouth","400991138"
"1/14/18","Saint Peter's","400991143"
"1/18/18","Quinnipiac","400991147"
"1/20/18","Fairfield","400991151"
"1/24/18","Manhattan","400991157"
"1/27/18","Canisius","400991164"
"2/2/18","Saint Peter's","400991170"
"2/4/18","Monmouth","400991175"
"2/8/18","Quinnipiac","400991182"
"2/10/18","Fairfield","400991184"
"2/16/18","Iona","400991195"
"2/18/18","Manhattan","400991200"
"2/21/18","Canisius","400991203"
"2/23/18","Marist","400991206"
"3/3/18","Fairfield","401020180"
"3/14/18","Eastern Michigan","401025895"
