"date","opponent","game_id"
"11/10/17","South Alabama","400989266"
"11/14/17","Maine","400989267"
"11/18/17","Boston College","400986069"
"11/19/17","Northwestern","401000129"
"11/22/17","Wofford","400988677"
"11/25/17","Savannah State","400989268"
"11/30/17","Seton Hall","400988505"
"12/5/17","Nevada","400989269"
"12/13/17","Kennesaw State","400989270"
"12/16/17","Rice","400989271"
"12/19/17","Florida Atlantic","400989272"
"12/22/17","Abilene Christian","400988992"
"12/29/17","Baylor","400989133"
"1/2/18","Kansas","400989181"
"1/6/18","Kansas State","400989202"
"1/9/18","Oklahoma","400989220"
"1/13/18","West Virginia","400989273"
"1/17/18","Texas","400989262"
"1/20/18","Iowa State","400989163"
"1/23/18","Oklahoma State","400989234"
"1/27/18","South Carolina","400987336"
"1/31/18","Texas","400989264"
"2/3/18","TCU","400989252"
"2/7/18","Iowa State","400989166"
"2/10/18","Kansas State","400989208"
"2/13/18","Oklahoma","400989225"
"2/17/18","Baylor","400989146"
"2/21/18","Oklahoma State","400989238"
"2/24/18","Kansas","400989191"
"2/26/18","West Virginia","400989274"
"3/3/18","TCU","400989255"
"3/8/18","Texas","401020058"
"3/9/18","West Virginia","401020061"
"3/15/18","Stephen F. Austin","401025833"
"3/17/18","Florida","401025863"
"3/23/18","Purdue","401025878"
"3/25/18","Villanova","401025883"
