"date","opponent","game_id"
"11/10/17","Southern-New Orleans","400992538"
"11/16/17","Michigan","400986356"
"11/20/17","Blue Mountain College","400992549"
"11/24/17","South Dakota","400989307"
"11/25/17","Youngstown State","400992194"
"11/26/17","Northern Colorado","400992553"
"11/29/17","South Alabama","400990387"
"12/3/17","Rust College","400992563"
"12/10/17","Troy","400990402"
"12/13/17","Alabama A&M","400992566"
"12/16/17","William Carey","400992569"
"12/21/17","Florida State","400986159"
"12/23/17","Mississippi State","400987272"
"12/28/17","Marshall","400992576"
"12/30/17","Western Kentucky","400992581"
"1/4/18","UTEP","400992589"
"1/6/18","UT San Antonio","400992593"
"1/11/18","UAB","400992604"
"1/13/18","Middle Tennessee","400992608"
"1/18/18","Rice","400992614"
"1/20/18","North Texas","400992619"
"1/27/18","Louisiana Tech","400992631"
"2/1/18","Florida Intl","400992638"
"2/3/18","Florida Atlantic","400992642"
"2/8/18","Old Dominion","400992650"
"2/10/18","Charlotte","400992655"
"2/15/18","Middle Tennessee","400992663"
"2/17/18","UAB","400992669"
"2/22/18","UT San Antonio","400992677"
"2/24/18","UTEP","400992681"
"3/3/18","Louisiana Tech","400992693"
"3/7/18","Florida Intl","401020706"
"3/8/18","Middle Tennessee","401020710"
"3/9/18","Marshall","401020714"
