"date","opponent","game_id"
"11/10/17","Charleston Southern","400989776"
"11/14/17","UNC Wilmington","400989777"
"11/21/17","Nevada","400989778"
"11/25/17","Appalachian State","400989779"
"11/28/17","Charlotte","400989780"
"12/1/17","North Carolina","400986110"
"12/5/17","VMI","400988702"
"12/16/17","Virginia","400986144"
"12/22/17","New Mexico State","400989781"
"12/24/17","Hawai'i","400999697"
"12/25/17","Akron","400999698"
"12/30/17","Richmond","400989782"
"1/3/18","Saint Louis","400989783"
"1/7/18","George Mason","400989784"
"1/10/18","George Washington","400989785"
"1/14/18","Fordham","400989786"
"1/19/18","St. Bonaventure","400989787"
"1/23/18","Dayton","400989788"
"1/28/18","Richmond","400989789"
"1/31/18","La Salle","400989790"
"2/3/18","George Washington","400989791"
"2/6/18","Saint Joseph's","400989792"
"2/9/18","Rhode Island","400989793"
"2/14/18","VCU","400989794"
"2/17/18","Massachusetts","400989795"
"2/21/18","Fordham","400989796"
"2/24/18","Duquesne","400989797"
"2/27/18","St. Bonaventure","400989798"
"3/2/18","Rhode Island","400989799"
"3/9/18","Saint Louis","401020081"
"3/10/18","St. Bonaventure","401020083"
"3/11/18","Rhode Island","401020084"
"3/15/18","Kentucky","401025814"
