"ncaa_name","espn_name","conference","primary_color","secondary_color","tertiary_color","color_4","color_5","color_6"
"Seattle U","Seattle","WAC","#AA0000","#333333",NA,NA,NA,NA
"Seton Hall","Seton Hall","Big East","#004488","#A2AAAD",NA,NA,NA,NA
"Siena","Siena","MAAC","#FFC72C","#C8102E","#006747","#693F23",NA,NA
"South Alabama","South Alabama","Sunbelt","#00205B","#BF0D3E",NA,NA,NA,NA
"South Carolina","South Carolina","SEC","#73000A","#000000",NA,NA,NA,NA
"South Dakota","South Dakota","Summit","#AD0000","#B4B4B4","#000000",NA,NA,NA
"South Dakota St.","South Dakota St","Summit","#0033A0","#FFD100",NA,NA,NA,NA
"South Fla.","USF","AAC","#006747","#CFC493",NA,NA,NA,NA
"Southern California","USC","Pac 12","#FFC72C",NA,NA,NA,NA,NA
"Southern Ill.","S Illinois","MVC","#720000","#000000",NA,NA,NA,NA
"Southern Miss.","Southern Miss","C-USA","#000000","#FFAB00",NA,NA,NA,NA
"Southern Utah","Southern Utah","Big Sky","#000000","#FFFFFF",NA,NA,NA,NA
"St. Bonaventure","St Bonaventure","A-10","#54261A","#FDB726","#BDB6B0",NA,NA,NA
"St. John's (NY)","St John's","Big East","#BA0C2F","#041C2C","#A7A8AA",NA,NA,NA
"Stanford","Stanford","Pac 12","#8C1515","#4D4F53","#2E2D29","#007662",NA,NA
"Stetson","Stetson","A-Sun","#006747","#B58150","#9E652E","#000000",NA,NA
"Stony Brook","Stony Brook","Am. East","#990000","#16243E","#828282",NA,NA,NA
"Syracuse","Syracuse","ACC","#D44500","#3E3D3C","#6F777D","#ADB3B8","#3E3D3C","#0D1D37"
"TCU","TCU","Big 12","#4D1979","#A3A9AC","#FFFFFF",NA,NA,NA
"Temple","Temple","AAC","#9D2235","#FFCD00","#8A8D8F","#C1C6C8","#000000",NA
"Tennessee","Tennessee","SEC","#FF8200","#58595B","#FFFFFF",NA,NA,NA
"Texas","Texas","Big 12","#BF5700","#333F48","#FFFFFF",NA,NA,NA
"Texas A&M","Texas A&M","SEC","#500000","#FFFFFF",NA,NA,NA,NA
"Texas St.","Texas State","Sunbelt","#501214","#8D734A",NA,NA,NA,NA
"Texas Tech","Texas Tech","Big 12","#CC0000","#000000","#FFFFFF",NA,NA,NA
"Toledo","Toledo","MAC","#15397F","#005CB9","#FFDA00","#BEC6C3","#A0ACAA","#000000"
"Tulane","Tulane","AAC","#006747","#43B02A","#418FDE","#000000",NA,NA
"Tulsa","Tulsa","AAC","#002D72","#C8102E","#C5B783","#F3D54E","#84754E",NA
"UAB","UAB","C-USA","#006341","#CC8A00","#000000","#BF0D3E",NA,NA
"UC Davis","UC Davis","Big West","#002855","#B3A369",NA,NA,NA,NA
"UC Irvine","UC Irvine","Big West","#0C2340","#FFC72C",NA,NA,NA,NA
"UC Riverside","UC Riverside","Big West","#2D6CC0","#003066","#F1AB00","#7A6E67","#000000",NA
"UCLA","UCLA","Pac 12","#2D68C4","#F2A900","#3284BF","#FFE800",NA,NA
"UIC","UIC","Horizon","#AC1E2D","#041E42","#FACC09",NA,NA,NA
"UMass Lowell","UMass Lowell","Am. East","#003DA5","#C8102E",NA,NA,NA,NA
"UMBC","UMBC","Am. East","#B18906","#FFC20E","#000000","#ED1C24",NA,NA
"UMKC","UMKC","WAC","#005293","#FECB00","#000000","#DCDDDE",NA,NA
"UNI","Northern Iowa","MVC","#4B116F","#FFCC00",NA,NA,NA,NA
"UNLV","UNLV","MWC","#B10202","#666666","#000000",NA,NA,NA
"USC Upstate","USC Upstate","Big South","#00703C","#000000",NA,NA,NA,NA
"UT Arlington","UT Arlington","Sunbelt","#F58025","#0064B1",NA,NA,NA,NA
"Utah","Utah","Pac 12","#CC0000","#808080","#000000",NA,NA,NA
"Utah St.","Utah State","MWC","#0F2439","#FFFFFF","#9D968D","#000000",NA,NA
"Utah Valley","Utah Valley","WAC","#275D38","#000000","#8E8C89",NA,NA,NA
"UTEP","UTEP","C-USA","#FF8200","#041E42","#B1B3B3",NA,NA,NA
"UTRGV","UT Rio Grande","WAC","#FFA300","#F05023","#00843D","#0C2340",NA,NA
"UTSA","UTSA","C-USA","#F15A22","#0C2340",NA,NA,NA,NA
"Valparaiso","Valparaiso","MVC","#381E0E","#613318","#FFCC00",NA,NA,NA
"Vanderbilt","Vanderbilt","SEC","#000000","#866D4B",NA,NA,NA,NA
"VCU","VCU","A-10","#FFB300","#000000",NA,NA,NA,NA
"Vermont","Vermont","Am. East","#154734","#8B5B29","#FFC72C","#C6AA76","#FF6A13","#000000"
"Villanova","Villanova","Big East","#00205B","#13B5EA","#8B634B",NA,NA,NA
"Virginia","UVA","ACC","#232D4B","#F84C1E","#FFFFFF",NA,NA,NA
"Virginia Tech","Virginia Tech","ACC","#630031","#CF4420",NA,NA,NA,NA
"Wake Forest","Wake Forest","ACC","#A67F31","#000000",NA,NA,NA,NA
"Washington","Washington","Pac 12","#4B2E83","#B7A57A","#85754D",NA,NA,NA
"Washington St.","Washington St","Pac 12","#981E32",NA,NA,NA,NA,NA
"Weber St.","Weber State","Big Sky","#A1A1A4","#130C0E",NA,NA,NA,NA
"West Virginia","West Virginia","Big 12","#002855","#EAAA00",NA,NA,NA,NA
"Western Ill.","W Illinois","Summit","#663399","#FFCC00",NA,NA,NA,NA
"Western Ky.","W Kentucky","C-USA","#C60C30","#1E1E1E","#A2A4A3",NA,NA,NA
"Western Mich.","W Michigan","MAC","#6C4023","#B5A167","#AAA8AA","#000000",NA,NA
"Wichita St.","Wichita State","AAC","#FFCD00",NA,NA,NA,NA,NA
"Wisconsin","Wisconsin","Big 10","#C5050C","#9B0000",NA,NA,NA,NA
"Wright St.","Wright State","Horizon","#026937","#CEA052","#FFE1A5","#DE6328",NA,NA
"Wyoming","Wyoming","MWC","#FFC425","#492F24",NA,NA,NA,NA
"Xavier","Xavier","Big East","#0C2340","#9EA2A2","#0099CC",NA,NA,NA
"Yale","Yale","Ivy","#00356B",NA,NA,NA,NA,NA
"Youngstown St.","Youngstown St","Horizon","#C8102E","#F3D54E",NA,NA,NA,NA
