"NCAA","ESPN","ESPN_PBP","Warren_Nolan","Trank","name_247","conference","network_col"
"Tennessee Tech","Tenn Tech","Tennessee Tech","Tennessee Tech","Tennessee Tech","Tennessee Tech","OVC","purple"
"Texas","Texas","Texas","Texas","Texas","Texas","Big 12","orange"
"Texas A&M","Texas A&M","Texas A&M","Texas A&M","Texas A&M","Texas A&M","SEC","maroon"
"Texas Southern","Texas Southern","Texas Southern","Texas Southern","Texas Southern","Texas Southern","SWAC","grey"
"Texas St.","Texas State","Texas State","Texas State","Texas St.","Texas State","Sunbelt","brown"
"Texas Tech","Texas Tech","Texas Tech","Texas Tech","Texas Tech","Texas Tech","Big 12","red"
"The Citadel","The Citadel","The Citadel","The Citadel","The Citadel","Citadel","Southern","skyblue"
"Toledo","Toledo","Toledo","Toledo","Toledo","Toledo","MAC","royalblue3"
"Towson","Towson","Towson","Towson","Towson","Towson","CAA","gold"
"Troy","Troy","Troy","Troy","Troy","Troy","Sunbelt","maroon"
"Tulane","Tulane","Tulane","Tulane","Tulane","Tulane","AAC","seagreen"
"Tulsa","Tulsa","Tulsa","Tulsa","Tulsa","Tulsa","AAC","blue"
"UAB","UAB","UAB","UAB","UAB","UAB","C-USA","forestgreen"
"UC Davis","UC Davis","UC Davis","UC Davis","UC Davis","UC Davis","Big West","gold"
"UC Irvine","UC Irvine","UC Irvine","UC Irvine","UC Irvine","UC Irvine","Big West","gold"
"UC Riverside","UC Riverside","UC Riverside","UC Riverside","UC Riverside","UC Riverside","Big West","grey"
"UC Santa Barbara","UCSB","UC Santa Barbara","UC Santa Barbara","UC Santa Barbara","UC Santa Barbara","Big West","royalblue3"
"UCF","UCF","UCF","UCF","UCF","UCF","AAC","gold"
"UCLA","UCLA","UCLA","UCLA","UCLA","UCLA","Pac 12","skyblue"
"UConn","UConn","Connecticut","Connecticut","Connecticut","Connecticut","AAC","royalblue3"
"UIC","UIC","UIC","Illinois-Chicago","Illinois Chicago","Illinois Chicago","Horizon","royalblue3"
"UMass Lowell","UMass Lowell","UMass Lowell","Massachusetts-Lowell","UMass Lowell","UMass Lowell","Am. East","royalblue1"
"UMBC","UMBC","UMBC","UMBC","UMBC","UMBC","Am. East","gold"
"UMES","MD-E Shore","Maryland-Eastern Shore","Maryland Eastern Shore","Maryland Eastern Shore","Maryland Eastern Shore","MEAC","maroon"
"UMKC","UMKC","UMKC","UMKC","UMKC","Missouri-Kansas City","WAC","gold"
"UNC Asheville","UNC Asheville","UNC Asheville","UNC Asheville","UNC Asheville","UNC Asheville","Big South","seagreen"
"UNC Greensboro","UNCG","UNC Greensboro","UNC Greensboro","UNC Greensboro","UNC Greensboro","Southern","grey"
"UNCW","UNC Wilmington","UNC Wilmington","UNC Wilmington","UNC Wilmington","UNC Wilmington","CAA","seagreen"
"UNI","Northern Iowa","Northern Iowa","Northern Iowa","Northern Iowa","Northern Iowa","MVC","purple"
"UNLV","UNLV","UNLV","UNLV","UNLV","UNLV","MWC","red"
"USC Upstate","USC Upstate","South Carolina Upstate","South Carolina Upstate","USC Upstate","South Carolina Upstate","Big South","forestgreen"
"UT Arlington","UT Arlington","UT Arlington","UTA","UT Arlington","UT-Arlington","Sunbelt","orange"
"UT Martin","UT Martin","UT Martin","Tennessee-Martin","Tennessee Martin","Tennessee-Martin","OVC","orange"
"Utah","Utah","Utah","Utah","Utah","Utah","Pac 12","red"
"Utah St.","Utah State","Utah State","Utah State","Utah St.","Utah State","MWC","royalblue1"
"Utah Valley","Utah Valley","Utah Valley","Utah Valley","Utah Valley","Utah Valley","WAC","forestgreen"
"UTEP","UTEP","UTEP","UTEP","UTEP","UTEP","C-USA","orange"
"UTRGV","UT Rio Grande","UT Rio Grande Valley","UTRGV","UT Rio Grande Valley","UTSA","WAC","orange"
"UTSA","UTSA","UT San Antonio","UTSA","UTSA","Texas-San Antonio","C-USA","orange"
"Valparaiso","Valparaiso","Valparaiso","Valparaiso","Valparaiso","Valparaiso","MVC","gold"
"Vanderbilt","Vanderbilt","Vanderbilt","Vanderbilt","Vanderbilt","Vanderbilt","SEC","gold"
"VCU","VCU","VCU","Virginia Commonwealth","VCU","VCU","A-10","gold"
"Vermont","Vermont","Vermont","Vermont","Vermont","Vermont","Am. East","forestgreen"
"Villanova","Villanova","Villanova","Villanova","Villanova","Villanova","Big East","royalblue3"
"Virginia","UVA","Virginia","Virginia","Virginia","Virginia","ACC","orange"
"Virginia Tech","Virginia Tech","Virginia Tech","Virginia Tech","Virginia Tech","Virginia Tech","ACC","maroon"
"VMI","VMI","VMI","VMI","VMI","Virginia Military Institute","Southern","red"
"Wagner","Wagner","Wagner","Wagner","Wagner","Wagner","NEC","forestgreen"
"Wake Forest","Wake Forest","Wake Forest","Wake Forest","Wake Forest","Wake Forest","ACC","gold"
"Washington","Washington","Washington","Washington","Washington","Washington","Pac 12","purple"
"Washington St.","Washington St","Washington State","Washington State","Washington St.","Washington State","Pac 12","firebrick2"
"Weber St.","Weber State","Weber State","Weber State","Weber St.","Weber State","Big Sky","purple"
"West Virginia","West Virginia","West Virginia","West Virginia","West Virginia","West Virginia","Big 12","gold"
"Western Caro.","W Carolina","Western Carolina","Western Carolina","Western Carolina","Western Carolina","Southern","purple"
"Western Ill.","W Illinois","Western Illinois","Western Illinois","Western Illinois","Western Illinois","Summit","gold"
"Western Ky.","W Kentucky","Western Kentucky","Western Kentucky","Western Kentucky","Western Kentucky","C-USA","red"
"Western Mich.","W Michigan","Western Michigan","Western Michigan","Western Michigan","Western Michigan","MAC","gold"
"Wichita St.","Wichita State","Wichita State","Wichita State","Wichita St.","Wichita State","AAC","gold"
"William & Mary","William & Mary","William & Mary","William & Mary","William & Mary","William & Mary","CAA","forestgreen"
"Winthrop","Winthrop","Winthrop","Winthrop","Winthrop","Winthrop","Big South","red"
"Wisconsin","Wisconsin","Wisconsin","Wisconsin","Wisconsin","Wisconsin","Big 10","red"
"Wofford","Wofford","Wofford","Wofford","Wofford","Wofford","Southern","gold"
"Wright St.","Wright State","Wright State","Wright State","Wright St.","Wright State","Horizon","forestgreen"
"Wyoming","Wyoming","Wyoming","Wyoming","Wyoming","Wyoming","MWC","brown"
"Xavier","Xavier","Xavier","Xavier","Xavier","Xavier","Big East","royalblue3"
"Yale","Yale","Yale","Yale","Yale","Yale","Ivy","royalblue3"
"Youngstown St.","Youngstown St","Youngstown State","Youngstown State","Youngstown St.","Youngstown State","Horizon","red"
