"NCAA","ESPN","ESPN_PBP","Warren_Nolan","Trank","name_247","conference","network_col"
"Lehigh","Lehigh","Lehigh","Lehigh","Lehigh","Lehigh","Patriot","brown"
"Liberty","Liberty","Liberty","Liberty","Liberty","Liberty","A-Sun","royalblue3"
"Lipscomb","Lipscomb","Lipscomb","Lipscomb","Lipscomb","Lipscomb","A-Sun","purple"
"Little Rock","Little Rock","Little Rock","Arkansas-Little Rock","Little Rock","Arkansas-Little Rock","Sunbelt","maroon"
"LIU Brooklyn","LIU Brooklyn","LIU Brooklyn","Long Island","LIU Brooklyn","Long Island","NEC","gold"
"Long Beach St.","Long Beach St","Long Beach State","Long Beach State","Long Beach St.","Long Beach State","Big West","gold"
"Longwood","Longwood","Longwood","Longwood","Longwood","Longwood","Big South","royalblue3"
"Louisiana","Louisiana","Louisiana","Louisiana-Lafayette","Louisiana Lafayette","Louisiana","Sunbelt","red"
"Louisiana Tech","LA Tech","Louisiana Tech","Louisiana Tech","Louisiana Tech","Louisiana Tech","C-USA","blue"
"Louisville","Louisville","Louisville","Louisville","Louisville","Louisville","ACC","red"
"Loyola Chicago","Loyola-Chicago","Loyola-Chicago","Loyola-Chicago","Loyola Chicago","Loyola Chicago","MVC","maroon"
"Loyola Maryland","Loyola (MD)","Loyola (MD)","Loyola-Maryland","Loyola MD","Loyola (MD)","Patriot","forestgreen"
"Loyola Marymount","Loyola Mary","Loyola Marymount","Loyola-Marymount","Loyola Marymount","Loyola Marymount","WCC","maroon"
"LSU","LSU","LSU","LSU","LSU","LSU","SEC","purple"
"Maine","Maine","Maine","Maine","Maine","Maine","Am. East","skyblue"
"Manhattan","Manhattan","Manhattan","Manhattan","Manhattan","Manhattan","MAAC","forestgreen"
"Marist","Marist","Marist","Marist","Marist","Marist","MAAC","red"
"Marquette","Marquette","Marquette","Marquette","Marquette","Marquette","Big East","gold"
"Marshall","Marshall","Marshall","Marshall","Marshall","Marshall","C-USA","forestgreen"
"Maryland","Maryland","Maryland","Maryland","Maryland","Maryland","Big 10","red"
"Massachusetts","UMass","Massachusetts","Massachusetts","Massachusetts","Massachusetts","A-10","firebrick3"
"McNeese","McNeese","McNeese","McNeese State","McNeese St.","McNeese State","Southland","blue"
"Memphis","Memphis","Memphis","Memphis","Memphis","Memphis","AAC","royalblue2"
"Mercer","Mercer","Mercer","Mercer","Mercer","Mercer","Southern","orange"
"Miami (FL)","Miami","Miami","Miami (FL)","Miami FL","Miami","ACC","orange"
"Miami (OH)","Miami (OH)","Miami (OH)","Miami (OH)","Miami OH","Miami (OH)","MAC","red"
"Michigan","Michigan","Michigan","Michigan","Michigan","Michigan","Big 10","royalblue3"
"Michigan St.","Michigan State","Michigan State","Michigan State","Michigan St.","Michigan State","Big 10","forestgreen"
"Middle Tenn.","Mid Tennessee","Middle Tennessee","Middle Tennessee","Middle Tennessee","Middle Tennessee State","C-USA","royalblue3"
"Milwaukee","Milwaukee","Milwaukee","Milwaukee","Milwaukee","Wisconsin-Milwaukee","Horizon","gold"
"Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Big 10","firebrick3"
"Mississippi St.","Miss St","Mississippi State","Mississippi State","Mississippi St.","Mississippi State","SEC","firebrick4"
"Mississippi Val.","Miss Valley St","Mississippi Valley State","Mississippi Valley State","Mississippi Valley St.","Mississippi Valley State","SWAC","forestgreen"
"Missouri","Missouri","Missouri","Missouri","Missouri","Missouri","SEC","gold"
"Missouri St.","Missouri State","Missouri State","Missouri State","Missouri St.","Missouri State","MVC","maroon"
"Monmouth","Monmouth","Monmouth","Monmouth","Monmouth","Monmouth","MAAC","royalblue3"
"Montana","Montana","Montana","Montana","Montana","Montana","Big Sky","maroon"
"Montana St.","Montana State","Montana State","Montana State","Montana St.","Montana State","Big Sky","gold"
"Morehead St.","Morehead State","Morehead State","Morehead State","Morehead St.","Morehead State","OVC","blue"
"Morgan St.","Morgan State","Morgan State","Morgan State","Morgan St.","Morgan State","MEAC","grey"
"Mt. St. Mary's","Mt St Mary's","Mt. St. Mary's","Mount Saint Mary's","Mount St. Mary's","Mount St. Mary's","NEC","grey"
"Murray St.","Murray State","Murray State","Murray State","Murray St.","Murray State","OVC","gold"
"N.C. A&T","NC A&T","North Carolina A&T","North Carolina A&T","North Carolina A&T","North Carolina A&T","MEAC","gold"
"N.C. Central","NC Central","North Carolina Central","North Carolina Central","North Carolina Central","North Carolina Central","MEAC","skyblue"
"Navy","Navy","Navy","Navy","Navy","Navy","Patriot","gold"
"NC State","NC State","NC State","North Carolina State","North Carolina St.","N.C. State","ACC","red"
"Nebraska","Nebraska","Nebraska","Nebraska","Nebraska","Nebraska","Big 10","red"
