"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Campbell Donovan","G","5-11","165","FR","Fort Wayne, IN"
"2","Aaron Thompson","G","6-2","190","FR","Glenn Dale, MD"
"3","Kamar Baldwin","G","6-1","170","SO","Winder, GA"
"4","Tyler Wideman","F","6-8","240","SR","Schererville, IN"
"5","Paul Jorgensen","G","6-2","185","JR","New City, NY"
"20","Henry Baddley","G","6-4","175","SO","Wadsworth, OH"
"21","Jerald Gillens-Butler","G","6-4","235","FR","Fort Lauderdale, FL"
"22","Sean McDermott","G","6-6","190","SO","Anderson, IN"
"25","Christian David","G","6-6","215","FR","Milton, ON"
"30","Kelan Martin","F","6-7","220","SR","Louisville, KY"
"50","Joey Brunk","F","6-11","240","SO","Indianapolis, IN"
"51","Nate Fowler","C","6-10","240","JR","Cincinnati, OH"
