"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Dante Thorpe","G","6-4","195","JR","Washington, DC"
"2","Gairges Daow","G","6-4","190","FR","Melbourne, VIC"
"3","Marlo Brown","G","6-5","200","FR","Southfield, MI"
"4","Lacey James","F","6-9","235","JR","Grand Rapids, MI"
"5","Justin Thomas","G","5-11","180","SO","Indianapolis, IN"
"10","Eugene German","G","6-0","175","SO","Gary, IN"
"11","Noah McCarty","F","6-7","240","SO","Rock Falls, IL"
"12","Anastasios Demogerontas","G","6-7","210","JR","Orland Park, IL"
"15","Jaylen Key","F","6-8","230","JR","Milwaukee, WI"
"20","Jon Siu","G","6-5","195","JR","Hong Kong, Hong Kong"
"22","Rod Henry-Hayes","G","6-4","180","FR","Zion, IL"
"25","Brennen Woods","F","6-4","200","FR","Carpentersville, IL"
"32","Andrew Zelis","C","7-0","255","SR","Wheaton, IL"
"33","Owen Hamilton","C","7-0","255","FR","Prescott, WI"
"42","Levi Bradley","G","6-7","210","JR","Milwaukee, WI"
"55","Brandon Danowski","G","5-11","180","FR","Wilmette, IL"
