"Number","Name","Position","Height","Weight","Class","Hometown"
"2","Nai Carlisle","G","6-2","200","FR","West Lafayette, IN"
"5","Keith Fisher III","F","6-8","215","FR","Los Angeles, CA"
"10","Isaiah Nichols","G","6-5","180","SO","Oxnard, CA"
"11","Ryan Parilla","G","5-10","160","FR","Union City, CA"
"12","Caleb Simmons","G","6-6","195","FR","Vallejo, CA"
"13","Oumar Barry","C","6-11","230","JR","Conakry, Guinea"
"20","Noah Baumann","G","6-5","180","FR","Phoenix, AZ"
"21","Jalen James","G","6-4","175","SR","Chicago, IL"
"24","Ryan Singer","F","6-10","235","JR","Littleton, CO"
"25","Jaycee Hillsman","G","6-6","213","JR","Champaign, IL"
"32","Ryan Welage","F","6-9","205","JR","Greensburg, IN"
"41","Ashtin Chastain","C","6-11","245","SO","Norco, CA"
"--","Walter Graves III","F","6-7","192","FR","Clovis, CA"
