"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Jahmal McMurray","G","6-0","175","JR","Topeka, KS"
"1","Shake Milton","G","6-6","205","JR","Owasso, OK"
"3","William Douglas","G","6-5","180","FR","Memphis, TN"
"5","Ethan Chargois","F","6-9","235","FR","Tulsa, OK"
"10","Jarrey Foster","G","6-6","220","JR","Houston, TX"
"12","James Pyle","G","6-3","175","SO","Overland Park, KS"
"15","Isiaha Mike","F","6-8","200","SO","Scarborough, ON"
"20","Elijah Landrum","G","6-0","180","FR","Tulsa, OK"
"21","Ben Emelogu II","G","6-5","215","SR","Grand Prairie, TX"
"22","Luke Wilfong","G","6-1","170","FR","Memphis, TN"
"23","Akoy Agau","F","6-8","235","SR","Omaha, NE"
"24","Everett Ray","F","6-7","220","FR","Addison, TX"
"31","Jimmy Whitt","G","6-3","175","SO","Columbia, MO"
