"Number","Name","Position","Height","Weight","Class","Hometown"
"00","James Banks","C","6-10","240","SO","Decatur, GA"
"1","Andrew Jones","G","6-4","195","SO","Irving, TX"
"2","Matt Coleman","G","6-2","180","FR","Norfolk, VA"
"3","Jacob Young","G","6-2","185","SO","Houston, TX"
"4","Mohamed Bamba","F","6-11","225","FR","Harlem, NY"
"5","Royce Hamm Jr.","F","6-8","230","FR","Houston, TX"
"10","Eric Davis Jr.","G","6-3","190","JR","Saginaw, MI"
"12","Kerwin Roach II","G","6-4","180","JR","Houston, TX"
"13","Jase Febres","G","6-5","190","FR","Houston, TX"
"20","Jericho Sims","F","6-9","240","FR","Minneapolis, MN"
"21","Dylan Osetkowski","F","6-9","245","JR","San Diego, CA"
"22","Isaiah Hobbs","G","6-3","190","SR","Palm Beach, FL"
"25","Joe Schwartz","G","6-2","190","SR","Waco, TX"
"30","Ryan McClurg","F","6-6","235","SR","Katy, TX"
"55","Elijah Long","G","6-1","185","JR","Mississauga, AB"
