"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Chris Lewis","F","6-9","235","SO","Alpharetta, GA"
"2","James McLean","G","6-0","185","JR","Atherton, CA"
"3","Tommy McCarthy","G","6-0","175","JR","Rancho Santa Fe, CA"
"5","Rio Haskett","G","6-3","195","FR","Richmond, VA"
"11","Bryce Aiken","G","6-0","175","SO","Randolph, NJ"
"13","Andre Chatfield","G","6-4","195","SR","Lilburn, GA"
"14","Balsa Dragovic","F","6-10","225","JR","Zemun, Serbia"
"20","Justin Bassey","G","6-5","215","SO","Denver, CO"
"21","Zach Yoshor","G","6-6","205","SR","Houston, TX"
"22","Christian Juzang","G","6-2","175","SO","Tarzana, CA"
"23","Weisner Perez","F","6-6","220","JR","Berwyn, IL"
"24","Chris Egi","F","6-9","225","SR","Markham, ON"
"25","Corey Johnson","G","6-5","200","JR","Ottawa, ON"
"30","Danilo Djuricic","F","6-8","210","FR","Brampton, ON"
"31","Seth Towns","F","6-7","215","SO","Columbus, OH"
"32","Robbie Feinberg","G","6-3","200","JR","Hidden Hills, CA"
"33","Reed Farley","G","6-4","190","FR","La Jolla, CA"
"35","Robert Baker","F","6-11","205","SO","Woodstock, GA"
"44","Henry Welsh","F","6-10","250","SO","Redondo Beach, CA"
