"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Desmond Williams","F","6-6","205","SR","Alpine, AL"
"1","Nick Severado","F","6-8","185","JR","Savannah, GA"
"2","Kamron Reaves","G","6-1","172","FR","Champaign, IL"
"3","Craig Bowman","G","6-4","180","SR","Saint Petersburg, FL"
"4","Elijah Mayes","G","6-0","175","SR","Orlando, FL"
"5","Nasir Core","G","6-2","205","SO","Tampa, FL"
"10","John Clayton","F","6-5","215","SO","Lithonia, GA"
"11","Javonni Harrell","F","6-7","205","JR","Chicago, IL"
"20","Brendon Myles","G","6-4","195","SO","Atlanta, GA"
"21","Justin Ravenel","G","6-1","175","JR","Lithonia, GA"
"22","Marcus Barham","G","6-5","185","SR","Melbourne, FL"
"23","Bryce Moragne","G","6-5","195","FR","Tampa, FL"
"24","Ifeanyi Umezurike","C","6-10","245","SO","Lagos, Nigeria"
"30","Rashad Austin","F","6-8","220","SO","Tampa, FL"
"33","D.J. Jones","F","6-9","195","FR","Brusly, LA"
"34","Isaiah Martin","C","7-0","210","JR","Denver, CO"
