"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Warren Williams","F","6-9","250","FR","Kingston, Jamaica"
"1","Ak Ojo","C","6-10","220","JR","Lagos, Nigeria"
"2","Patrick Strzala","G","6-5","185","FR","Bayonne, NJ"
"3","Zavier Turner","G","5-9","170","SR","Indianapolis, IN"
"4","Zane Waterman","F","6-9","220","SR","Winston-salem, NC"
"10","Nehemiah Mack","G","6-1","160","FR","Harrisburg, PA"
"11","Aaron Walker Jr","G","6-2","190","SO","Brooklyn, NY"
"14","Calvin Crawford","F","6-8","205","SR","Middletown, NY"
"21","Matt Maloney","G","6-1","170","JR","Somers, NY"
"22","Thomas Capuano","G","6-0","180","JR","Hastings, NY"
"23","Rich Williams","G","6-5","190","SR","Brooklyn, NY"
"24","Ebube Ebube","F","6-7","220","FR","San Juan, Puerto Rico"
"33","Pauly Paulicap","F","6-8","220","SO","Elmont, NY"
"52","Samson Usilo","G","6-4","205","JR","Lagos, Nigeria"
