"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Jaylen Fisher","G","6-2","200","SO","Arlington, TN"
"1","Desmond Bane","G","6-5","215","SO","Richmond, IN"
"2","Shawn Olden","G","6-3","180","JR","Tulsa, OK"
"10","Vladimir Brodziansky","F","6-11","230","SR","Prievidza, Slovakia"
"12","Kouat Noi","F","6-7","210","FR","Newcastle, NSW"
"13","Lat Mayen","F","6-8","195","FR","Adelaide, SA"
"15","JD Miller","F","6-8","235","JR","Dallas, TX"
"20","Dalton Dry","G","6-4","190","SR","Fort Worth, TX"
"21","Kevin Samuel","C","6-11","265","FR","Codrington Village, Antigua & Barbuda"
"22","RJ Nembhard","G","6-4","190","FR","Keller, TX"
"23","Ahmed Hamdy-Mohamed","F","6-9","235","SR","Alexandria, Egypt"
"25","Alex Robinson","G","6-1","175","JR","Fort Worth, TX"
"33","Clayton Crawford","F","6-3","210","SR","Aspen, CO"
"34","Kenrich Williams","G","6-7","210","SR","Waco, TX"
"45","Austin Sottile","F","6-6","225","SR","St. Louis, MO"
