"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Caleb Morris","G","6-4","185","SO","Vista, CA"
"1","Dane Norman","F","6-9","190","JR","San Diego, CA"
"2","CJ Siples","G","6-3","175","SR","Cibolo, TX"
"3","Sid Tomes","G","6-4","200","SO","Woodbury, MN"
"5","Christopher Joyce","G","6-6","196","FR","Jacksonville, FL"
"11","Ameka Akaya","F","6-6","215","FR","Hagerstown, MD"
"12","Lavelle Scottie","F","6-6","200","SO","Fort Worth, TX"
"13","LeSean Brown","G","6-2","185","SO","SAN ANTONIO, TX"
"15","Jacob Van","G","6-1","175","SR","Mansfield, TX"
"20","Trevor Lyons","G","6-3","190","SR","Newport News, VA"
"22","Pervis Louder","G","6-4","187","JR","Raleigh, NC"
"23","Kobi Betts","G","6-3","190","SO","Pueblo, CO"
"24","Charles O'Briant","F","6-8","200","FR","Johns Creek, GA"
"25","Bryce Hughes","G","6-3","190","FR","SAN ANTONIO, TX"
"30","Jonathan DeWane","F","6-8","205","SO","Jacksonville, FL"
"32","Ryan Manning","F","6-6","200","SR","Sacramento, CA"
"33","Frank Toohey","C","6-7","220","SR","Elmhurst, IL"
"34","Ryan Swan","F","6-7","225","SO","Aurora, CO"
"35","James Edwards","G","6-1","165","FR","Allison Park, PA"
"44","Keaton Van Soelen","G","6-7","190","FR","Waukee, IA"
