"Number","Name","Position","Height","Weight","Class","Hometown"
"2","Jermaine Marrow","G","6-0","182","SO","Newport News, VA"
"3","Trey Carver","G","6-5","256","SO","Elizabeth City, NC"
"4","Greg Heckstall","G","6-6","195","SO","Norfolk, VA"
"5","Cheikh Sow","C","7-0","215","FR","Teaneck, NJ"
"12","Imani Miller","G","6-1","185","JR","Knoxville, TN"
"15","Benjamin Stanley","F","6-8","225","FR","Baltimore, MD"
"20","A.J. Astroth","F","6-6","200","SR","Tampa, FL"
"21","Devon Oakley","G","6-3","185","JR","Chesapeake, VA"
"22","Trevond Barnes","F","6-9","210","JR","Lafayette, AL"
"23","Kalin Fisher","G","6-2","180","JR","Chicago, IL"
"24","Austin Colbert","F","6-8","202","JR","Chesapeake, VA"
"25","Akim Mitchell","G","6-5","200","JR","Charlotte, NC"
"31","Charles Wilson-Fisher","F","6-9","205","SR","Los Angeles, CA"
"33","Lysander Bracey","G","6-4","156","SO","Charlotte, NC"
