"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Zach Green","G","6-4","195","SR","Gilbert, AZ"
"1","Joe Mvuezolo Jr.","F","6-6","180","SR","London, England"
"2","Keljin Blevins","F","6-6","200","JR","Hot Springs, AR"
"3","Tyler Hall","G","6-4","175","JR","Rock Island, IL"
"4","Sam Neumann","F","6-7","200","JR","St. Paul, MN"
"5","Harald Frey","G","6-1","150","SO","Oslo, Norway"
"10","Devonte Klines","G","6-0","185","JR","Los Angeles, CA"
"13","Isaac Bonton","G","6-2","175","FR","Portland, OR"
"21","Benson Osayande","F","6-9","200","SR","Elk Grove, CA"
"22","Konner Frey","F","6-6","200","SR","Bountiful, UT"
"31","Devin Kirby","C","6-10","215","SO","Chandler, AZ"
"33","Lassi Nikkarinen","G","6-2","180","FR","Helsinki, Finland"
"44","Luke Schultz","C","6-11","230","FR","Fredericksburg, TX"
