"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Isaiah Hart","G","5-11","179","FR","Morrow, GA"
"1","KaVaughn Scott","F","6-8","220","SO","Irvine, CA"
"2","Andre Walker","G","6-0","170","SR","Westbury, NY"
"3","Luke Johnson","G","6-2","168","FR","Lexington, KY"
"4","Nevell Provo","G","6-0","186","JR","North Preston, NS"
"5","James Fives","G","6-6","196","JR","Scranton, PA"
"10","Andrew Kostecka","G","6-4","179","SO","Germantown, MD"
"11","River Reed","F","6-8","208","FR","SAN ANTONIO, TX"
"14","Chuck Champion","G","6-3","175","SO","Philadelphia, PA"
"15","Sam Norton","G","6-2","180","JR","Collegeville, PA"
"20","Matt Staubi","G","5-8","152","SR","Rye, NY"
"21","Ethan Norton","G","6-4","161","FR","Collegeville, PA"
"22","Cam Gregory","F","6-8","214","SR","Waldorf, MD"
"23","Brent Holcombe","F","6-7","194","FR","Miami, FL"
"35","Chancellor Barnard","F","6-4","187","SR","Columbia, MD"
"41","Ian Langendoerfer","F","6-5","211","SO","Honesdale, PA"
