"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Rob Marberry","F","6-7","215","JR","Nashville, TN"
"1","Greg Jones","G","6-1","175","FR","Frisco, TX"
"2","Ahsan Asadullah","C","6-8","260","FR","Atlanta, GA"
"3","Michael Buckland","G","6-5","190","SO","High Point, NC"
"5","Nathan Moran","G","5-10","160","SR","Franklin, TN"
"11","Asa Duvall","G","6-2","195","SR","Brentwood, TN"
"12","Matt Rose","F","6-7","200","JR","Lexington, KY"
"13","Zack Flener","G","5-10","170","FR","Murray, KY"
"15","Andrew Fleming","G","6-6","205","SO","Nashville, TN"
"20","John Matt Merritt","G","6-0","155","FR","Nashville, TN"
"21","Kenny Cooper","G","6-0","180","SO","Nashville, TN"
"22","Eli Pepper","F","6-9","205","JR","Princeton, KY"
"23","Aaron Korn","G","6-4","210","SR","Frankton, IN"
"24","Garrison Mathews","G","6-5","210","JR","Franklin, TN"
"55","George Brammeier","C","6-10","235","SR","Brandon, FL"
