"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Josh Stamps","G","6-5","180","JR","Chicago, IL"
"1","Isaiah Banks","G","6-5","180","FR","Conyers, GA"
"2","Cordell Veira","G","6-4","190","FR","Etobicoke, ON"
"3","Trejon Jacob","G","6-5","175","SO","Raleigh, NC"
"4","Brian Beard Jr.","G","5-10","180","JR","Rancho Cucamonga, CA"
"5","Eric Lockett","G","6-5","193","JR","Warner Robins, GA"
"10","Hassan Hussein","F","6-9","205","JR","Lorton, VA"
"20","Willy Nunez Jr.","G","6-6","185","JR","Orlando, FL"
"22","Elhadji Dieng","C","6-11","245","JR","Mbour, Senegal"
"23","Ronald Whitaker","F","6-7","192","SR","Washington, DC"
"31","Michael Douglas","F","6-5","190","JR","Sachse, TX"
"32","Jay Harvey","F","6-9","246","JR","Chicago, IL"
"34","Osasumwen Osaghae","F","6-7","250","SO","Miami, FL"
