"Number","Name","Position","Height","Weight","Class","Hometown"
"2","Jevon Carter","G","6-2","205","SR","Maywood, IL"
"3","James Bolden","G","6-0","170","SO","Covington, KY"
"4","Daxter Miles Jr.","G","6-3","200","SR","Baltimore, MD"
"5","Brandon Knapper","G","6-0","180","FR","South Charleston, WV"
"11","D'Angelo Hunter","F","6-6","190","JR","Louisville, KY"
"13","Teddy Allen","F","6-5","225","FR","Mesa, AZ"
"14","Chase Harler","G","6-3","210","SO","Moundsville, WV"
"15","Lamont West","F","6-8","230","SO","Cincinnati, OH"
"21","Wesley Harris","F","6-8","200","SO","Jackson, MS"
"23","Esa Ahmad","F","6-8","230","JR","Cleveland, OH"
"25","Maciej Bender","F","6-10","250","SO","Warsaw, Poland"
"31","Logan Routt","F","6-11","260","SO","Cameron, WV"
"50","Sagaba Konate","F","6-8","260","SO","Bamako, Mali"
