"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Dominic Magee","G","6-4","190","JR","Harvey, LA"
"1","Cortez Edwards","G","6-2","180","JR","Kissimmee, FL"
"2","D'Angelo Richardson","G","5-9","168","SR","Vicksburg, MS"
"3","Rodney Gill","G","6-3","193","JR","Theodore, AL"
"4","Christian Clark","G","6-0","175","SO","Hattiesburg, MS"
"5","Tyree Griffin","G","5-10","175","JR","New Orleans, LA"
"10","Josh Conley","G","6-7","185","SO","Inglewood, CA"
"11","LaDavius Draine","G","6-4","215","FR","Calhoun City, MS"
"12","Tim Rowe","F","6-11","220","SO","Lilburn, GA"
"15","Eddie Davis III","F","6-7","248","JR","Las Vegas, NV"
"20","Kevin Holland","G","6-1","187","JR","Tuscaloosa, AL"
"21","Anfernee Hampton","G","6-5","170","JR","Jackson, MS"
"30","Clay Weatherspoon","G","6-2","195","SO","Ridgeland, MS"
"32","Leonard Harper-Baker","F","6-5","205","JR","Detroit, MI"
