"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Geo Baker","G","6-4","180","FR","Derry, NH"
"1","Candido Sa","F","6-9","235","SR","Lisbon, Portugal"
"2","Shaquille Doorson","C","7-0","275","JR","Amsterdam, Netherlands"
"3","Corey Sanders","G","6-2","176","JR","Lakeland, FL"
"5","Mike Williams","G","6-2","196","SR","Brooklyn, NY"
"10","Jake Dadika","G","6-1","170","SR","Milltown, NJ"
"11","Eugene Omoruyi","F","6-7","234","SO","Rexdale, ON"
"13","Matt Bullock","F","6-4","260","SO","Elizabeth, NJ"
"15","Myles Johnson","F","6-10","264","FR","Long Beach, CA"
"21","Mamadou Doucoure","F","6-9","243","FR","Bamako, Mali"
"22","Joey Downes","G","5-11","170","SO","East Sandwich, MA"
"24","Aaren Smith","F","6-6","205","SO","Ellicott City, MD"
"32","Peter Kiss","G","6-5","190","SO","New York, NY"
"33","Deshawn Freeman","F","6-7","227","SR","Rocky Mount, NC"
"35","Issa Thiam","G","6-10","190","SO","Dakar, Senegal"
"44","Souf Mensah","G","6-2","220","JR","Nantes, France"
"55","Luke Nathan","F","6-10","230","FR","Randolph, NJ"
