"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Marcus Garrett","G","6-5","180","FR","Dallas, TX"
"1","Dedric Lawson","F","6-9","230","JR","Memphis, TN"
"2","Lagerald Vick","G","6-5","175","JR","Memphis, TN"
"3","Sam Cunliffe","G","6-6","200","SO","Seattle, WA"
"4","Devonte' Graham","G","6-2","185","SR","Raleigh, NC"
"5","Charlie Moore","G","5-11","170","SO","Chicago, IL"
"10","Sviatoslav Mykhailiuk","G","6-8","205","SR","Cherkasy, Ukraine"
"12","Chris Teahan","G","6-4","175","FR","Leawood, KS"
"13","K.J. Lawson","G","6-8","205","SO","Memphis, TN"
"14","Malik Newman","G","6-3","190","SO","Jackson, MS"
"21","Clay Young","G","6-5","205","SR","Lansing, KS"
"23","Billy Preston","F","6-10","240","FR","Los Angeles, CA"
"35","Udoka Azubuike","C","7-0","280","SO","Delta, Nigeria"
"44","Mitch Lightfoot","F","6-8","210","SO","Gilbert, AZ"
