"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Kyvon Davenport","F","6-8","210","JR","Gainesville, GA"
"1","Jamal Johnson","G","6-4","181","FR","Birmingham, AL"
"2","Jimario Rivers","F","6-8","193","SR","Clarksville, TN"
"3","Jeremiah Martin","G","6-3","180","JR","Memphis, TN"
"4","Raynere Thornton","F","6-7","235","JR","Marietta, GA"
"5","Kareem Brewton Jr.","G","6-3","190","JR","Claxton, GA"
"10","Mike Parks Jr.","F","6-9","270","JR","Cleveland, OH"
"11","Malik Rhodes","G","6-2","180","JR","Cincinnati, OH"
"12","Victor Enoh","F","6-8","250","FR","Decatur, GA"
"14","Evin Olds","G","6-0","155","FR","Memphis, TN"
"15","David Nickelberry","G","6-8","210","FR","Orlando, FL"
"20","Nathan Stewart","G","6-3","168","FR","Chicago, IL"
"23","Karim Sameh Azab","F","6-11","290","SO","Giza, Egypt"
"30","Kytrel Williams","G","6-3","207","SR","Memphis, TN"
"32","Alex Moffatt","F","6-5","223","SR","Somerville, TN"
