"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Michael Mayernick","G","5-8","150","FR","Nashville, TN"
"1","Austin Luke","G","6-3","200","SR","Rowlett, TX"
"2","Grayson Murphy","G","6-1","170","FR","Aalborg, Denmark"
"2","Nick Smith","F","6-8","220","SR","Bentonville, AR"
"3","Dylan Windler","F","6-7","195","JR","Indianapolis, IN"
"10","Caleb Hollander","F","6-8","230","FR","Nashville, TN"
"11","Kevin McClain","G","6-2","180","JR","Jennings, FL"
"14","Nick Hopkins","G","5-11","160","FR","Fayetteville, TN"
"20","Taylor Barnette","G","6-3","185","SR","Lexington, KY"
"20","Tate Pierson","G","6-5","180","FR","Brentwood, TN"
"21","Burton Sampson","G","6-4","195","SR","Knoxville, TN"
"24","Michael Benkert","G","6-4","195","SO","Greenwood, IN"
"25","Mack Mercer","F","6-9","230","JR","Plymouth, IN"
"32","Amanze Egekeze","F","6-8","220","SR","Lake In The H, IL"
"33","Nick Muszynski","C","6-10","220","FR","Pickerington, OH"
"35","Evan Bradds","F","6-7","205","SR","Jamestown, OH"
"35","Pedro Bradshaw","G","6-7","180","FR","Russellville, KY"
"41","Tyler Hadden","C","6-10","240","SR","Cincinnati, OH"
"50","Seth Adelsperger","C","6-11","225","SO","Peru, IN"
