"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Julian Roche","C","6-11","235","FR","Saint John, NB"
"1","Matt Turner","G","6-3","175","FR","Trumbull, CT"
"2","Tahj Eaddy","G","6-1","165","SO","West Haven, CT"
"3","Henrik Jadersten","F","6-11","240","JR","Stockholm, Sweden"
"4","Jarvis Pugh","F","6-6","210","SR","Murphy, TX"
"10","KJ Feagin","G","6-1","190","JR","Long Beach, CA"
"12","Matt Hauser","G","6-1","180","JR","Thousand Oaks, CA"
"13","Josip Vrankic","F","6-8","205","FR","Toronto, ON"
"14","Evan Crawford","G","6-3","200","JR","Altadena, CA"
"15","Johnny Sawyer","G","6-2","190","SO","Hyattsville, MD"
"21","Henry Caruso","F","6-4","195","SR","Burlingame, CA"
"22","Shaquille Walters","G","6-6","190","FR","London, England"
"25","Kai Healy","G","6-5","210","SR","Sydney, NSW"
"33","Matt Jasaitis","G","5-11","170","SR","Manhattan Beach, CA"
"50","Emmanuel Ndumanya","C","6-10","267","SR","Anambra State, Nigeria"
