"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Justin Roberts","G","6-0","170","FR","Indianapolis, IN"
"1","Austin Grandstaff","G","6-4","185","SO","Rowlett, TX"
"2","Jaylen Butz","F","6-9","224","FR","Fort Wayne, IN"
"3","Devin Gage","G","6-2","195","SO","Chicago, IL"
"4","Brandon Cyrus","G","6-5","190","SO","Oakville, ON"
"5","Jalen Coleman-Lands","G","6-4","185","JR","Indianapolis, IN"
"10","Tre'Darius McCallum","F","6-7","220","SR","Myrtle Beach, SC"
"11","Eli Cain","G","6-6","200","JR","Willingboro, NJ"
"12","Jason Malonga","G","6-4","180","FR","Bolingbrook, IL"
"13","James Anderson","G","6-1","180","FR","Melbourne, VIC"
"15","Paul Reed","F","6-9","210","FR","Orlando, FL"
"21","Pantelis Xidias","G","5-9","155","FR","Michigan City, IN"
"22","Tobias Dwumaah","F","6-4","185","SR","Chicago, IL"
"30","Peter Ryckbosch","F","6-10","230","SR","Chicago, IL"
"31","Max Strus","G","6-6","215","JR","Hickory Hills, IL"
"33","Joe Hanel","F","6-7","215","SR","Savage, MN"
"34","Marin Maric","C","6-11","240","SR","Split, Croatia"
