"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Joe Thompson","F","6-7","211","FR","Kenner, LA"
"1","Herb McGee","G","6-1","195","SO","Reserve, LA"
"3","Kevin Morris","F","6-8","265","SO","Dothan, AL"
"4","A.J. Caldwell","G","6-4","190","FR","Sarasota, FL"
"5","Dederick Lee","G","6-0","162","SR","Clarksville, AR"
"11","John Pettway","G","6-1","180","FR","Safford, AL"
"12","R.J. Kelly","F","6-5","183","SO","Powder Springs, GA"
"13","Devin Epps","G","5-11","167","SR","Murfreesboro, TN"
"14","Rodrick Sikes","G","6-1","155","JR","Ocean Springs, MS"
"21","Nick Davis","F","6-6","191","SR","Mount Vernon, AL"
"25","Jordan Andrews","G","6-4","180","SO","Abita Springs, LA"
"30","Ethan Haslam","G","6-1","182","SO","Lithia, FL"
"33","Josh Ajayi","F","6-7","244","SO","El Monte, CA"
"34","Rozelle Nix","F","6-11","330","SR","Cincinnati, OH"
"42","Trhae Mitchell","F","6-6","189","SO","Austell, GA"
