"Number","Name","Position","Height","Weight","Class","Hometown"
"0","V.J. King","F","6-6","190","SO","Cleveland, OH"
"1","Lance Thomas","F","6-8","210","FR","Norcross, GA"
"2","Darius Perry","G","6-2","170","FR","Powder Springs, GA"
"3","Jo Griffin","G","6-1","175","FR","Lagrange, KY"
"4","Quentin Snider","G","6-2","175","SR","Louisville, KY"
"5","Malik Williams","F","6-11","215","FR","Fort Wayne, IN"
"12","Jacob Redding","G","6-1","165","FR","Fort Wayne, IN"
"13","Ray Spalding","F","6-10","215","JR","Louisville, KY"
"14","Anas Mahmoud","F","7-0","215","SR","Cairo, Egypt"
"20","Brian Bowen II","G","6-7","190","FR","Saginaw, MI"
"22","Deng Adel","F","6-7","200","JR","Melbourne, VIC"
"23","Steven Enoch","C","6-10","250","JR","Norwalk, CT"
"24","Dwayne Sutton","F","6-5","200","SO","Louisville, KY"
"30","Ryan McMahon","G","6-0","170","SO","Sarasota, FL"
"33","Jordan Nwora","F","6-8","215","FR","Buffalo, NY"
