"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Matt Vail","G","5-10","--","FR","Grants, NM"
"1","Chris McNeal","G","6-1","--","JR","Jackson, TN"
"2","Sam Logwood","G","6-8","215","SR","Indianapolis, IN"
"3","Antino Jackson","G","6-0","165","SR","Houston, TX"
"5","Joe Furstinger","F","6-9","230","SR","Rancho Santa Margarita, CA"
"10","Makuach Maluach","G","6-5","--","FR","Sydney, NSW"
"11","Jachai Simmons","F","6-7","--","JR","Plainfield, NJ"
"13","JaQuan Lyle","G","6-5","210","JR","Evansville, IN"
"14","Dane Kuiper","F","6-7","200","JR","Wasilla, AK"
"15","Vladimir Pinchuk","F","6-10","225","FR","Schwerin, Germany"
"22","Vance Jackson","F","6-8","229","SO","Los Angeles, CA"
"31","Troy Simons","G","6-3","197","JR","Pittsburgh, PA"
"32","Anthony Mathis","G","6-3","180","JR","West Linn, OR"
"55","Connor MacDougall","F","6-9","235","SR","TEMPE, AZ"
