"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Josh Williams","G","6-2","195","JR","Akron, OH"
"1","Jon Williams","G","6-1","175","FR","Akron, OH"
"2","David Cole","F","6-7","240","FR","Corona, NY"
"3","Leondre Washington","G","6-1","175","FR","Englewood, NJ"
"4","Taevon Ashmeade","G","6-4","185","JR","Bronx, NY"
"5","Malik Petteway","F","6-8","240","JR","Waterbury, CT"
"10","Koby Thomas","F","6-6","190","FR","Philadelphia, PA"
"11","Dachon Burke","G","6-4","180","SO","Orange, NJ"
"12","Nick Castelveter","G","5-11","180","FR","Moon Township, PA"
"13","Seth Rouse","F","6-3","205","JR","Pittsburgh, PA"
"20","Charles Bain","F","6-8","200","FR","Freeport, GB"
"22","Ronnie Gombe","F","6-8","240","SR","Nairobi, Kenya"
"23","Matty McConnell","G","6-2","195","JR","Oakdale, PA"
"24","Chris Coalmon","F","6-6","185","FR","North Babylon, NY"
"25","Xavier Williams","F","6-9","225","SR","Fairfield, AL"
