"Number","Name","Position","Height","Weight","Class","Hometown"
"1","Adam McDermott","G","6-4","190","SO","Cedar Rapids, IA"
"2","Klint Carlson","F","6-7","222","JR","Waverly, IA"
"3","Ted Friedman","C","6-9","245","JR","Ankeny, IA"
"5","Rafael de Souza","G","6-1","180","JR","Sao Paulo, Brazil"
"12","Lincoln Conrey","F","6-7","218","FR","Waterloo, IA"
"13","Juwan McCloud","G","5-11","173","FR","Germantown, WI"
"15","Justin Dahl","C","6-11","250","FR","Carver, MN"
"21","Hunter Rhodes","G","6-1","175","JR","Canton, IL"
"22","Tanner Lohaus","F","6-7","205","FR","North Liberty, IA"
"24","Isaiah Brown","G","6-5","172","FR","Flower Mound, TX"
"25","Bennett Koch","F","6-9","234","JR","Ashwaubenon, WI"
"30","Spencer Haldeman","G","6-1","173","FR","Peosta, IA"
"33","Wyatt Lohaus","G","6-2","180","JR","North Liberty, IA"
"34","Luke McDonnell","F","6-9","218","FR","Dubuque, IA"
