"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Kyle Castlin","G","6-4","195","JR","Marietta, GA"
"1","Jeff Coby","F","6-8","223","SR","Pembroke Pines, FL"
"2","Andrew Panayiotou","F","6-7","194","FR","Victoria, BC"
"3","Patrick Tape","F","6-10","220","FR","Matthews, NC"
"4","Rodney Hunter","G","6-5","185","SO","Cape Coral, FL"
"5","CJ Davis","G","6-2","207","SO","Far Rockaway, NY"
"10","Quinton Adlesh","G","6-0","190","SO","Arroyo Grande, CA"
"11","Lukas Meisner","F","6-8","210","SO","Braunschweig, Germany"
"12","Mike Smith","G","5-10","179","FR","Burr Ridge, IL"
"14","Kendall Jackson","G","5-8","160","SR","Union City, CA"
"20","Jake Killingsworth","G","6-5","205","FR","San Carlos, CA"
"21","Peter Barba","G","6-5","190","SO","Chagrin Falls, OH"
"22","Nate Hickman","G","6-4","175","JR","Newark, DE"
"24","John Sica","F","6-7","195","SO","Delmar, NY"
"32","Chris McComber","F","6-8","244","SR","Nepean, ON"
"33","Luke Petrasek","F","6-10","215","SR","East Northport, NY"
"41","Shane Eberle","C","6-10","253","SO","Woodbine, MD"
"52","Conor Voss","C","7-1","260","SR","Saint Cloud, MN"
