"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Harrison Kay","F","6-11","240","FR","Covina, CA"
"1","Kevin Seymour","G","6-0","175","JR","Bronx, NY"
"2","Kashaun Hicks","F","6-6","195","FR","Jersey City, NJ"
"3","Mustafa Jones","F","6-7","180","JR","Harlem, NY"
"5","Eric Bowles","G","6-0","180","SO","Fairfax, VA"
"10","Austin Nehls","G","6-3","185","SO","Tucson, AZ"
"11","Tidell Pierre","F","6-7","210","SR","Hempstead, NY"
"12","Khalen Cumberlander","G","6-3","185","SR","Washington, DC"
"13","Tyson Batiste","G","6-2","170","FR","Springfield, MO"
"15","Shakaris Laney","G","6-4","200","JR","Philadelphia, PA"
"20","Tafari Whittingham","F","6-8","215","SR","Brooklyn, NY"
"21","Antwann Anderson","G","5-9","175","FR","Slidell, LA"
"24","Chris Williams","G","6-6","170","FR","Chicago, IL"
"30","Donyell Marshall Jr.","F","6-6","175","FR","Pepper Pike, OH"
