"Number","Name","Position","Height","Weight","Class","Hometown"
"3","Carsen Edwards","G","6-0","190","FR","Atascocita, TX"
"11","P.J. Thompson","G","5-10","185","JR","Indianapolis, IN"
"12","Vince Edwards","F","6-8","225","JR","Middletown, OH"
"14","Ryan Cline","G","6-6","195","SO","Carmel, IN"
"15","Tommy Luce","G","5-10","150","FR","Jeffersonville, IN"
"23","Jacquil Taylor","F","6-10","240","SO","Cambridge, MA"
"24","Grady Eifert","F","6-6","220","SO","Fort Wayne, IN"
"31","Dakota Mathias","G","6-4","200","JR","Elida, OH"
"32","Matt Haarms","F","7-2","230","FR","Amsterdam, Netherlands"
"44","Isaac Haas","C","7-2","290","JR","Hokes Bluff, AL"
