"Number","Name","Position","Height","Weight","Class","Hometown"
"1","Elijah Lee","G","5-10","155","FR","Houston, TX"
"2","Eric Cooper Jr.","G","6-3","195","JR","Ontario, CA"
"10","Kenneth Arrick II","G","5-11","165","FR","Scottsdale, AZ"
"12","Nate Gehring","C","6-10","225","SO","Waukee, IA"
"15","Caleb Martin","G","6-2","190","FR","Los Angeles, CA"
"20","Kameron Edwards","F","6-6","215","SO","Rancho Cucamonga, CA"
"21","Knox Hellums","G","6-5","195","FR","Tomball, TX"
"24","Craig LeCesne","F","6-9","225","FR","Oxie, Sweden"
"31","Nolan Taylor","F","6-7","250","FR","Keller, TX"
"32","Kaijae Yee-Stephens","G","6-1","190","FR","Santa Cruz, CA"
"44","Ryan Keenan","C","6-10","240","SO","Woodbury, MN"
