"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Sa'eed Nelson","G","6-1","175","FR","Pleasantville, NJ"
"2","Delante Jones","G","6-5","195","SO","Chantilly, VA"
"3","James Washington","G","6-1","160","SO","Norwalk, CA"
"4","Alex Paquin","G","6-0","198","JR","Montreal, PQ"
"5","Laurynas Motuzis","G","6-6","200","SO","Darien, IL"
"12","Yilret Yiljep","F","6-7","235","SR","Kaduna, Nigeria"
"13","Leon Tolksdorf","F","6-8","225","SR","Berlin, Germany"
"14","Justin Perez","G","6-1","155","FR","Miami, FL"
"15","Lonnie Rivera","F","6-6","195","SO","Spring Valley, NY"
"20","Charlie Jones","G","6-4","185","SR","Manchester, MD"
"21","Jalen Rhea","G","6-2","205","SR","New Albany, OH"
"22","Matt Cimino","F","6-10","212","JR","Falmouth, ME"
"23","Mark Gasperini","F","6-10","250","FR","Brookline, MA"
"25","Kevin Brown","G","5-8","160","SO","West Orange, NJ"
"35","Andrija Matic","F","6-10","220","SO","Belgrade, Serbia"
