"Number","Name","Position","Height","Weight","Class","Hometown"
"1","Idris Taqqee","G","6-4","200","JR","Snellville, GA"
"2","Matt Mobley","G","6-3","185","JR","Worcester, MA"
"3","Tareq Coburn","G","6-5","200","FR","Rosedale, NY"
"4","Nelson Kaputo","G","6-0","175","SO","Toronto, ON"
"10","Jaylen Adams","G","6-2","185","JR","Baltimore, MD"
"11","Courtney Stockard","F","6-5","205","JR","St. Louis, MO"
"15","LaDarien Griffin","F","6-6","210","SO","Jacksonville, FL"
"21","Quinn Lee Yaw","F","6-5","215","JR","Jamestown, NY"
"23","Jack Galatio","G","5-10","165","FR","Hornell, NY"
"32","Amadi Ikpeze","F","6-10","250","FR","Buffalo, NY"
"33","Josh Ayeni","F","6-8","220","FR","Zaria, Nigeria"
