"Number","Name","Position","Height","Weight","Class","Hometown"
"1","Tyrie Jackson","G","6-1","205","FR","Tifton, GA"
"2","Khadim Sy","F","6-10","240","FR","Dakar, Senegal"
"3","Seth LeDay","F","6-7","200","JR","Dallas, TX"
"5","Justin Robinson","G","6-1","185","SO","Manassas, VA"
"10","Justin Bibbs","G","6-5","220","JR","Dayton, OH"
"13","Ahmed Hill","G","6-5","205","SO","Augusta, GA"
"15","Chris Clarke","G","6-6","210","SO","Virginia Beach, VA"
"21","Nick Fullard","F","6-10","235","JR","La Plata, MD"
"24","Kerry Blackshear Jr.","F","6-10","260","SO","Orlando, FL"
"42","Ty Outlaw","G","6-6","220","JR","Roxboro, NC"
