"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Silas Melson","G","6-4","195","JR","Portland, OR"
"2","Jack Beach","G","6-2","175","SO","San Diego, CA"
"3","Johnathan Williams","F","6-9","228","JR","Memphis, TN"
"10","Bryan Alberts","G","6-5","198","SO","Northridge, CA"
"13","Josh Perkins","G","6-3","190","SO","Park Hill, CO"
"14","Jacob Larsen","C","6-11","227","FR","Holte, Denmark"
"21","Rui Hachimura","F","6-8","225","FR","Sendai, Japan"
"22","Jeremy Jones","F","6-6","210","SO","SAN ANTONIO, TX"
"23","Zach Norvell Jr.","G","6-5","205","FR","Chicago, IL"
"25","Ryan Edwards","C","7-1","295","JR","Kalispell, MT"
"33","Killian Tillie","F","6-10","200","FR","Cagnes-sur-Mer, France"
"55","Dustin Triano","G","6-3","180","JR","Vancouver, BC"
