"Number","Name","Position","Height","Weight","Class","Hometown"
"3","Grayson Allen","G","6-5","202","JR","Jacksonville, FL"
"12","Javin DeLaurier","F","6-10","220","FR","Shipman, VA"
"20","Marques Bolden","C","6-11","245","FR","Desoto, TX"
"30","Antonio Vrankovic","C","7-0","261","SO","Delray Beach, FL"
"34","Sean Obi","F","6-9","255","JR","Kaduna, Nigeria"
"41","Jack White","F","6-7","215","FR","Traralgon, VIC"
"50","Justin Robinson","F","6-8","194","FR","SAN ANTONIO, TX"
"53","Brennan Besser","G","6-5","188","SO","Chicago, IL"
