"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Chris Gilbert","G","6-2","181","FR","Bensenville, IL"
"1","Kendrick Nunn","G","6-3","184","SO","Chicago, IL"
"2","Nick Daniels","G","6-1","170","JR","Westland, MI"
"4","Jalen Hayes","F","6-7","213","JR","Lansing, MI"
"5","Stevie Clark","G","5-11","181","JR","Oklahoma City, OK"
"10","Isaiah Brock","F","6-8","191","FR","Baltimore, MD"
"11","Brailen Neely","G","5-9","154","FR","Detroit, MI"
"13","Brad Brechting","C","6-11","217","SO","Cedar Springs, MI"
"14","Xavier Hill-Mais","F","6-7","248","SO","Greensboro, NC"
"15","Chris Palombizio","G","6-6","212","FR","Chesterton, IN"
"21","Jaevin Cumberland","G","6-2","179","SO","Wilmington, OH"
"22","Alek Frascone","G","6-2","212","JR","Washington Township, MI"
"32","Tom Cotter","F","6-8","232","JR","Williamston, MI"
"35","Martez Walker","G","6-6","185","JR","Detroit, MI"
"53","James Edwards Jr.","F","6-8","184","FR","Seattle, WA"
