"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Darryl McDowell-White","G","6-1","175","FR","Brisbane, QLD"
"1","Jaron Hopkins","G","6-6","205","JR","Mesa, AZ"
"5","Jahmel Taylor","G","6-0","175","JR","Los Angeles, CA"
"10","Johnny McWilliams","G","6-6","195","FR","San Marcos, CA"
"11","Bryson Williams","F","6-8","225","FR","FRESNO, CA"
"14","Ryan Beddeo","G","6-2","185","FR","Valencia, CA"
"15","Grant Shell","G","6-3","190","SO","Burlington, KS"
"20","Sam Bittner","G","6-6","200","SO","Las Vegas, NV"
"21","Deshon Taylor","G","6-1","180","SO","Riverside, CA"
"22","Ountae Campbell","G","6-4","195","SO","Los Angeles, CA"
"24","Jacob Holland","G","6-4","195","JR","Los Lunas, NM"
"32","Nate Grimes","F","6-8","215","FR","Las Vegas, NV"
"34","Terrell Carter II","C","6-10","290","JR","Los Angeles, CA"
"35","Lazaro Rojas","F","6-11","235","FR","Sao Paulo, Brazil"
