"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Ky Bowman","G","6-1","182","FR","Havelock, NC"
"1","Jerome Robinson","G","6-5","190","SO","Raleigh, NC"
"2","Connar Tava","F","6-6","250","SR","Macomb, MI"
"5","Garland Owens","F","6-5","222","SR","Gaithersburg, MD"
"10","Ervins Meznieks","F","6-7","230","SO","Riga, Latvia"
"11","A.J. Turner","F","6-7","188","SO","Mount Clemens, MI"
"12","Johncarlos Reyes","C","6-10","214","FR","Lawrenceville, GA"
"14","Aser Ghebremichael","F","6-8","195","SO","Somerville, MA"
"15","Mo Jeffers","F","6-9","240","SR","Washington, DC"
"20","Gordon Gehan","G","6-5","220","SO","Dallas, TX"
"21","Nik Popovic","F","6-11","243","FR","Banja Luka, Bosnia & Herzegovina"
"22","Matt DiLuccio","G","5-11","180","FR","Rockville Centre, NY"
"23","Mike Sagay","F","6-7","200","FR","Bloomfield, CT"
"25","Jordan Chatman","G","6-5","198","SO","Vancouver, WA"
